TEMPORADA,PARTIDAS,MINUTOS,PONTOS,% CESTAS,% 3 PONTOS,REBOTES,ASSISTÃŠNCIAS
2016,66,28.2,17.6,35.8,28.5,3.7,2.8
2015,35,34.5,22.3,37.3,29.3,5.7,5.6
2014,6,29.5,13.8,42.5,18.8,4.3,6.3
2013,78,38.6,27.3,46.3,32.4,5.6,6.0
2012,58,38.5,27.9,43.0,30.3,5.4,4.6
2011,82,33.9,25.3,45.1,32.3,5.1,4.7
2010,73,38.8,27.0,45.6,32.9,5.4,5.0
2009,82,36.1,26.8,46.7,35.1,5.2,4.9
2008,82,38.9,28.3,45.9,36.1,6.3,5.4
2007,77,40.8,31.6,46.3,34.4,5.7,5.4
2006,80,41.0,35.4,45.0,34.7,5.3,4.5
2005,66,40.8,27.6,43.3,33.9,5.9,6.0
2004,65,37.7,24.0,43.8,32.7,5.5,5.1
2003,82,41.5,30.0,45.1,38.3,6.9,5.9
2002,80,38.3,25.2,46.9,25.0,5.5,5.5
2001,68,41.0,28.5,46.4,30.5,5.9,5.0
2000,66,38.2,22.5,46.8,31.9,6.3,4.9
1999,50,37.9,19.9,46.5,26.7,5.3,3.8
1998,79,26.1,15.4,42.8,34.1,3.1,2.5
1997,71,15.5,7.6,41.7,37.5,1.9,1.3